file_path,filename,project,doc_type,ext,created_at,folder_type
test_workspace\folder_9583_R\_edit.docx,_edit.docx,외부고객,QnA,.docx,2024-12-19 20:46:41,random_folder
test_workspace\folder_7492_B\-최종.xlsx,-최종.xlsx,기타,개발일정,.xlsx,2025-06-16 11:27:41,random_folder
test_workspace\-최종(2)n67x2.pptx,-최종(2)n67x2.pptx,외부고객,회의록,.pptx,2025-05-10 20:12:41,root
test_workspace\folder_2999_D\-최종(2).pptx,-최종(2).pptx,기타,지원요청,.pptx,2025-04-10 20:07:41,random_folder
test_workspace\내부지원\(최종).xlsx,(최종).xlsx,내부지원,발표자료,.xlsx,2025-03-21 06:26:41,project_folder
test_workspace\내부지원\-최종본(최종)mydj.txt,-최종본(최종)mydj.txt,내부지원,회의록,.txt,2025-03-14 15:00:41,project_folder
test_workspace\-최종수정ccm.jpg,-최종수정ccm.jpg,협력사,결과보고서,.jpg,2025-01-06 00:10:41,root
test_workspace\folder_5723_C\-최종본(2)qsky.pdf,-최종본(2)qsky.pdf,사내 업무 효율화 TF,발표자료,.pdf,2024-12-15 22:54:41,random_folder
test_workspace\_last.docx,_last.docx,기타,견적,.docx,2025-06-29 07:08:41,root
test_workspace\folder_9407_P\-최종n4an9y.txt,-최종n4an9y.txt,신제품 '퀀텀' 출시,발표자료,.txt,2025-04-29 23:12:41,random_folder
test_workspace\계약crp.png,계약crp.png,기타,예산안,.png,2025-04-13 16:52:41,root
test_workspace\final@#.txt,final@#.txt,외부고객,지원요청,.txt,2025-03-26 12:37:41,root
test_workspace\folder_5266_H\QNA@#.docx,QNA@#.docx,사내 업무 효율화 TF,결과보고서,.docx,2025-03-07 04:12:41,random_folder
test_workspace\-최종본(최종)64hmuc.docx,-최종본(최종)64hmuc.docx,기타,계약,.docx,2024-11-19 08:46:41,root
test_workspace\ver2.docx,ver2.docx,외부고객,설문결과,.docx,2025-04-22 11:33:41,root
test_workspace\-최종수정.xlsx,-최종수정.xlsx,2025 3분기 마케팅 캠페인,예산안,.xlsx,2025-03-14 07:39:41,root
test_workspace\이슈.docx,이슈.docx,신제품 '퀀텀' 출시,발표자료,.docx,2025-06-20 15:50:41,root
test_workspace\_last.png,_last.png,협력사,견적,.png,2025-02-06 17:04:41,root
test_workspace\folder_4555_G\(최종).docx,(최종).docx,내부지원,결과보고서,.docx,2024-10-26 08:34:41,random_folder
test_workspace\첨부.docx,첨부.docx,신제품 '퀀텀' 출시,요구사항정의서,.docx,2025-06-08 17:27:41,root
test_workspace\folder_3455_\_last@#.txt,_last@#.txt,협력사,개발일정,.txt,2025-06-10 08:39:41,random_folder
test_workspace\folder_6063_N\회의.xlsx,회의.xlsx,기타,캠페인제안서,.xlsx,2024-12-02 14:55:41,random_folder
test_workspace\외부고객\v1mj.pptx,v1mj.pptx,외부고객,QnA,.pptx,2025-04-03 14:14:41,project_folder
test_workspace\folder_4555_G\-최종(최종)4VXL_40.pptx,-최종(최종)4VXL_40.pptx,협력사,요구사항정의서,.pptx,2025-04-09 15:19:41,random_folder
test_workspace\folder_5266_H\QnA.pdf,QnA.pdf,내부지원,지원요청,.pdf,2024-12-21 14:43:41,random_folder
test_workspace\folder_6611_E\V1.png,V1.png,기타,디자인시안,.png,2025-01-13 08:02:41,random_folder
test_workspace\사내_업무_효율화_TF\-최종본(2).pdf,-최종본(2).pdf,사내 업무 효율화 TF,지원요청,.pdf,2024-11-04 14:58:41,project_folder
test_workspace\2025_3분기_마케팅_캠페인\-최종수정68D.png,-최종수정68D.png,2025 3분기 마케팅 캠페인,광고시안,.png,2024-12-25 15:09:41,project_folder
test_workspace\참고3m.xlsx,참고3m.xlsx,협력사,발표자료,.xlsx,2025-02-02 03:38:41,root
test_workspace\내부지원\-최종본(2)@#_87.docx,-최종본(2)@#_87.docx,내부지원,개발일정,.docx,2025-06-05 06:44:41,project_folder
test_workspace\기타\피드백.pptx,피드백.pptx,기타,지원요청,.pptx,2024-11-12 00:13:41,project_folder
test_workspace\보고서.pdf,보고서.pdf,2025 3분기 마케팅 캠페인,피드백,.pdf,2024-10-06 15:17:41,root
test_workspace\지원요청fyev.pdf,지원요청fyev.pdf,2025 3분기 마케팅 캠페인,발표자료,.pdf,2025-02-10 08:47:41,root
test_workspace\신제품_퀀텀_출시\_복사본.xlsx,_복사본.xlsx,신제품 '퀀텀' 출시,이슈,.xlsx,2024-11-07 12:40:41,project_folder
test_workspace\신제품_퀀텀_출시\V2.jpg,V2.jpg,신제품 '퀀텀' 출시,개발일정,.jpg,2024-09-29 17:47:41,project_folder
test_workspace\신제품_퀀텀_출시\DRAFTPMQ.xlsx,DRAFTPMQ.xlsx,신제품 '퀀텀' 출시,회의록,.xlsx,2025-01-13 11:24:41,project_folder
test_workspace\기타\자료.pdf,자료.pdf,기타,디자인시안,.pdf,2025-07-04 17:20:41,project_folder
test_workspace\folder_2999_D\_edit.docx,_edit.docx,협력사,광고시안,.docx,2025-04-14 04:57:41,random_folder
test_workspace\협력사\-최종(최종).pdf,-최종(최종).pdf,협력사,캠페인제안서,.pdf,2024-10-23 09:43:41,project_folder
test_workspace\folder_7956_W\-최종본(최종)k5c327.pptx,-최종본(최종)k5c327.pptx,사내 업무 효율화 TF,이슈,.pptx,2025-07-27 06:10:41,random_folder
test_workspace\2025_3분기_마케팅_캠페인\고객문의.txt,고객문의.txt,2025 3분기 마케팅 캠페인,QnA,.txt,2025-03-23 20:33:41,project_folder
test_workspace\v3z0jmbo.pptx,v3z0jmbo.pptx,내부지원,계약,.pptx,2024-09-25 03:30:41,root
test_workspace\folder_3025_M\-최종(2).png,-최종(2).png,사내 업무 효율화 TF,캠페인제안서,.png,2025-03-15 05:33:41,random_folder
test_workspace\folder_7492_B\V1.txt,V1.txt,신제품 '퀀텀' 출시,예산안,.txt,2025-01-18 14:15:41,random_folder
test_workspace\신제품_퀀텀_출시\v21uhq.jpg,v21uhq.jpg,신제품 '퀀텀' 출시,견적,.jpg,2024-12-12 22:57:41,project_folder
test_workspace\final.txt,final.txt,사내 업무 효율화 TF,발표자료,.txt,2025-05-06 21:06:41,root
test_workspace\folder_7492_B\-최종(최종)3y305.xlsx,-최종(최종)3y305.xlsx,내부지원,회의록,.xlsx,2024-11-19 22:22:41,random_folder
test_workspace\-최종(2).png,-최종(2).png,기타,광고시안,.png,2025-06-20 20:51:41,root
test_workspace\협력사\-최종본(1).pdf,-최종본(1).pdf,협력사,설문결과,.pdf,2024-08-27 12:18:41,project_folder
test_workspace\협력사\-최종(최종).xlsx,-최종(최종).xlsx,협력사,개발일정,.xlsx,2025-03-16 13:43:41,project_folder
test_workspace\folder_3455_\-최종본(2)z51e18.pdf,-최종본(2)z51e18.pdf,협력사,피드백,.pdf,2025-02-09 23:51:41,random_folder
