original_path,file_name,new_path,status
test_environment\마이크_데이터\마이크 데이터 계약서_830.hwp,마이크 데이터 계약서_830.hwp,,pending
test_environment\마이크_데이터\마이크 데이터 계약서_867.pdf,마이크 데이터 계약서_867.pdf,,pending
test_environment\마이크_데이터\마이크 데이터 기획서_135.docx,마이크 데이터 기획서_135.docx,,pending
test_environment\마이크_데이터\마이크 데이터 기획서_311.pdf,마이크 데이터 기획서_311.pdf,,pending
test_environment\마이크_데이터\마이크 데이터 기획서_333.pptx,마이크 데이터 기획서_333.pptx,,pending
test_environment\마이크_데이터\마이크 데이터 기획서_429.docx,마이크 데이터 기획서_429.docx,,pending
test_environment\마이크_데이터\마이크 데이터 기획서_562.pptx,마이크 데이터 기획서_562.pptx,,pending
test_environment\마이크_데이터\마이크 데이터 기획서_924.pdf,마이크 데이터 기획서_924.pdf,,pending
test_environment\마이크_데이터\마이크 데이터 기획서_962.docx,마이크 데이터 기획서_962.docx,,pending
test_environment\마이크_데이터\마이크 데이터 디자인_139.png,마이크 데이터 디자인_139.png,,pending
test_environment\마이크_데이터\마이크 데이터 디자인_440.jpg,마이크 데이터 디자인_440.jpg,,pending
test_environment\마이크_데이터\마이크 데이터 디자인_539.ai,마이크 데이터 디자인_539.ai,,pending
test_environment\마이크_데이터\마이크 데이터 디자인_901.sketch,마이크 데이터 디자인_901.sketch,,pending
test_environment\마이크_데이터\마이크 데이터 마케팅_191.pdf,마이크 데이터 마케팅_191.pdf,,pending
test_environment\마이크_데이터\마이크 데이터 마케팅_233.pptx,마이크 데이터 마케팅_233.pptx,,pending
test_environment\마이크_데이터\마이크 데이터 마케팅_319.jpg,마이크 데이터 마케팅_319.jpg,,pending
test_environment\마이크_데이터\마이크 데이터 마케팅_601.jpg,마이크 데이터 마케팅_601.jpg,,pending
test_environment\마이크_데이터\마이크 데이터 마케팅_716.pptx,마이크 데이터 마케팅_716.pptx,,pending
test_environment\마이크_데이터\마이크 데이터 마케팅_892.jpg,마이크 데이터 마케팅_892.jpg,,pending
test_environment\마이크_데이터\마이크 데이터 마케팅_930.pptx,마이크 데이터 마케팅_930.pptx,,pending
test_environment\마이크_데이터\마이크 데이터 보고서_102.pdf,마이크 데이터 보고서_102.pdf,,pending
test_environment\마이크_데이터\마이크 데이터 보고서_207.docx,마이크 데이터 보고서_207.docx,,pending
test_environment\마이크_데이터\마이크 데이터 보고서_339.pdf,마이크 데이터 보고서_339.pdf,,pending
test_environment\마이크_데이터\마이크 데이터 보고서_632.xlsx,마이크 데이터 보고서_632.xlsx,,pending
test_environment\마이크_데이터\마이크 데이터 보고서_762.xlsx,마이크 데이터 보고서_762.xlsx,,pending
test_environment\마이크_데이터\마이크 데이터 보고서_916.docx,마이크 데이터 보고서_916.docx,,pending
test_environment\마이크_데이터\마이크 데이터 인사_377.pdf,마이크 데이터 인사_377.pdf,,pending
test_environment\마이크_데이터\마이크 데이터 인사_454.docx,마이크 데이터 인사_454.docx,,pending
test_environment\마이크_데이터\마이크 데이터 인사_604.docx,마이크 데이터 인사_604.docx,,pending
test_environment\마이크_데이터\마이크 데이터 인사_632.xlsx,마이크 데이터 인사_632.xlsx,,pending
test_environment\마이크_데이터\마이크 데이터 인사_681.xlsx,마이크 데이터 인사_681.xlsx,,pending
test_environment\마이크_데이터\마이크 데이터 인사_939.xlsx,마이크 데이터 인사_939.xlsx,,pending
test_environment\마이크_데이터\마이크 데이터 재무_105.xlsx,마이크 데이터 재무_105.xlsx,,pending
test_environment\마이크_데이터\마이크 데이터 재무_248.pdf,마이크 데이터 재무_248.pdf,,pending
test_environment\마이크_데이터\마이크 데이터 재무_291.xlsx,마이크 데이터 재무_291.xlsx,,pending
test_environment\마이크_데이터\마이크 데이터 재무_304.csv,마이크 데이터 재무_304.csv,,pending
test_environment\마이크_데이터\마이크 데이터 재무_595.pdf,마이크 데이터 재무_595.pdf,,pending
test_environment\마이크_데이터\마이크 데이터 재무_724.pdf,마이크 데이터 재무_724.pdf,,pending
test_environment\마이크_데이터\마이크 데이터 재무_834.pdf,마이크 데이터 재무_834.pdf,,pending
test_environment\마이크_데이터\마이크 데이터 재무_961.pdf,마이크 데이터 재무_961.pdf,,pending
test_environment\마이크_데이터\마이크 데이터 회의록_257.md,마이크 데이터 회의록_257.md,,pending
test_environment\마이크_데이터\마이크 데이터 회의록_491.md,마이크 데이터 회의록_491.md,,pending
test_environment\마이크_데이터\마이크 데이터 회의록_514.md,마이크 데이터 회의록_514.md,,pending
test_environment\마이크_데이터\마이크 데이터 회의록_649.txt,마이크 데이터 회의록_649.txt,,pending
test_environment\마이크_데이터\마이크 데이터 회의록_831.md,마이크 데이터 회의록_831.md,,pending
test_environment\마이크_데이터\마이크 데이터 회의록_924.md,마이크 데이터 회의록_924.md,,pending
test_environment\마이크_데이터\마케팅_마이크_데이터_최종_201.jpg,마케팅_마이크_데이터_최종_201.jpg,,pending
test_environment\마이크_데이터\마케팅_마이크_데이터_최종_617.jpg,마케팅_마이크_데이터_최종_617.jpg,,pending
test_environment\마이크_데이터\백업_20240206_마케팅_300.pdf,백업_20240206_마케팅_300.pdf,,pending
test_environment\마이크_데이터\백업_20240222_계약서_124.hwp,백업_20240222_계약서_124.hwp,,pending
test_environment\마이크_데이터\백업_20240406_마케팅_805.jpg,백업_20240406_마케팅_805.jpg,,pending
test_environment\마이크_데이터\백업_20240922_디자인_737.ai,백업_20240922_디자인_737.ai,,pending
test_environment\마이크_데이터\백업_20241211_재무_639.pdf,백업_20241211_재무_639.pdf,,pending
test_environment\마이크_데이터\보고자료_20240723_547.xlsx,보고자료_20240723_547.xlsx,,pending
test_environment\마이크_데이터\보고자료_20240926_241.jpg,보고자료_20240926_241.jpg,,pending
test_environment\마이크_데이터\보고자료_20241004_953.docx,보고자료_20241004_953.docx,,pending
test_environment\마이크_데이터\보고자료_20241108_893.psd,보고자료_20241108_893.psd,,pending
test_environment\마이크_데이터\보고자료_20241109_700.pdf,보고자료_20241109_700.pdf,,pending
test_environment\마이크_데이터\외부자료_마이크_286.pdf,외부자료_마이크_286.pdf,,pending
test_environment\마이크_데이터\외부자료_마이크_583.pptx,외부자료_마이크_583.pptx,,pending
test_environment\마이크_데이터\외부자료_마이크_780.hwp,외부자료_마이크_780.hwp,,pending
test_environment\마이크_데이터\외부자료_마이크_824.pdf,외부자료_마이크_824.pdf,,pending
test_environment\마이크_데이터\임시_자료_606.docx,임시_자료_606.docx,,pending
test_environment\마이크_데이터\임시_파일_735.pdf,임시_파일_735.pdf,,pending
test_environment\마이크_데이터\재무_마이크_데이터_최종_865.xlsx,재무_마이크_데이터_최종_865.xlsx,,pending
test_environment\마이크_데이터\정리필요_마케팅_748.pptx,정리필요_마케팅_748.pptx,,pending
test_environment\마이크_데이터\정리필요_보고서_134.pdf,정리필요_보고서_134.pdf,,pending
test_environment\마이크_데이터\정리필요_인사_826.xlsx,정리필요_인사_826.xlsx,,pending
test_environment\마케팅\Copy of 마케팅_20240727_718.pptx,Copy of 마케팅_20240727_718.pptx,,pending
test_environment\마케팅\Copy of 마케팅_20240825_342.jpg,Copy of 마케팅_20240825_342.jpg,,pending
test_environment\마케팅\Copy of 마케팅_20241023_501.jpg,Copy of 마케팅_20241023_501.jpg,,pending
test_environment\마케팅\Copy of 마케팅_20241122_910.pdf,Copy of 마케팅_20241122_910.pdf,,pending
test_environment\마케팅\Final_마케팅_마이크_데이터_640.jpg,Final_마케팅_마이크_데이터_640.jpg,,pending
test_environment\마케팅\Final_마케팅_시에라_재무_994.pptx,Final_마케팅_시에라_재무_994.pptx,,pending
test_environment\마케팅\Final_마케팅_알파_프로젝트_401.pptx,Final_마케팅_알파_프로젝트_401.pptx,,pending
test_environment\마케팅\Final_마케팅_퀘벡_품질관리_188.jpg,Final_마케팅_퀘벡_품질관리_188.jpg,,pending
test_environment\마케팅\Final_마케팅_탱고_고객지원_993.pptx,Final_마케팅_탱고_고객지원_993.pptx,,pending
test_environment\마케팅\골프 개발 마케팅_230.pptx,골프 개발 마케팅_230.pptx,,pending
test_environment\마케팅\골프 개발 마케팅_607.pdf,골프 개발 마케팅_607.pdf,,pending
test_environment\마케팅\노벰버 보고 마케팅_351.pdf,노벰버 보고 마케팅_351.pdf,,pending
test_environment\마케팅\노벰버 보고 마케팅_648.pdf,노벰버 보고 마케팅_648.pdf,,pending
test_environment\마케팅\노벰버 보고 마케팅_971.pdf,노벰버 보고 마케팅_971.pdf,,pending
test_environment\마케팅\델타 기획 마케팅_618.pptx,델타 기획 마케팅_618.pptx,,pending
test_environment\마케팅\델타 기획 마케팅_714.pdf,델타 기획 마케팅_714.pdf,,pending
test_environment\마케팅\델타 기획 마케팅_890.pptx,델타 기획 마케팅_890.pptx,,pending
